True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
cardigan vs wig,,t=-2.78 p=6.00e-03 q=1.63e-02 d=0.13,,,,t=-3.23 p=1.50e-03 q=4.90e-03 d=0.22,,t=-6.57 p=0.00e+00 q=0.00e+00 d=0.53,t=-5.25 p=0.00e+00 q=0.00e+00 d=0.50,,t=-2.51 p=1.29e-02 q=3.14e-02 d=0.29,t=3.10 p=2.30e-03 q=7.00e-03 d=0.26
cardigan vs lipstick,,t=-3.80 p=2.00e-04 q=8.00e-04 d=0.29,,,t=3.30 p=1.10e-03 q=3.80e-03 d=0.32,,,t=-5.13 p=0.00e+00 q=0.00e+00 d=0.40,,,t=4.92 p=0.00e+00 q=0.00e+00 d=0.62,t=3.33 p=1.00e-03 q=3.60e-03 d=0.21
cardigan vs bra,,,t=3.01 p=3.00e-03 q=8.80e-03 d=0.21,t=3.00 p=3.10e-03 q=9.20e-03 d=0.15,,,t=-6.41 p=0.00e+00 q=0.00e+00 d=0.33,t=-5.05 p=0.00e+00 q=0.00e+00 d=0.34,t=-2.77 p=6.10e-03 q=1.67e-02 d=0.27,,t=4.50 p=0.00e+00 q=1.00e-04 d=0.51,
cardigan vs windsor,t=-3.61 p=4.00e-04 q=1.50e-03 d=0.16,t=-5.79 p=0.00e+00 q=0.00e+00 d=0.37,,t=2.42 p=1.67e-02 q=3.90e-02 d=0.14,,,,t=-6.47 p=0.00e+00 q=0.00e+00 d=0.57,t=-15.48 p=0.00e+00 q=0.00e+00 d=1.36,,t=3.81 p=2.00e-04 q=8.00e-04 d=0.23,t=6.26 p=0.00e+00 q=0.00e+00 d=0.71
cardigan vs desk,t=-2.82 p=5.30e-03 q=1.48e-02 d=0.12,,,,,,,,t=-7.94 p=0.00e+00 q=0.00e+00 d=0.83,,,t=2.69 p=7.80e-03 q=2.05e-02 d=0.30
cardigan vs library,t=-2.48 p=1.41e-02 q=3.37e-02 d=0.10,,,t=2.55 p=1.16e-02 q=2.87e-02 d=0.13,,,t=2.78 p=6.10e-03 q=1.66e-02 d=0.23,t=-2.63 p=9.40e-03 q=2.40e-02 d=0.22,t=-4.08 p=1.00e-04 q=3.00e-04 d=0.37,,t=7.69 p=0.00e+00 q=0.00e+00 d=0.92,t=3.88 p=1.00e-04 q=6.00e-04 d=0.41
miniskirt vs academicgown,,t=-3.48 p=6.00e-04 q=2.30e-03 d=0.21,,t=3.55 p=5.00e-04 q=1.80e-03 d=0.16,t=-3.27 p=1.30e-03 q=4.20e-03 d=0.26,,t=-4.65 p=0.00e+00 q=0.00e+00 d=0.33,t=-6.54 p=0.00e+00 q=0.00e+00 d=0.53,t=-10.82 p=0.00e+00 q=0.00e+00 d=1.04,t=-3.53 p=5.00e-04 q=1.90e-03 d=0.32,t=6.66 p=0.00e+00 q=0.00e+00 d=0.82,t=19.78 p=0.00e+00 q=0.00e+00 d=1.46
miniskirt vs pajamas,,,,t=2.89 p=4.30e-03 q=1.21e-02 d=0.13,t=-3.31 p=1.10e-03 q=3.80e-03 d=0.20,,,,t=3.09 p=2.30e-03 q=7.10e-03 d=0.21,,t=7.21 p=0.00e+00 q=0.00e+00 d=0.86,t=16.38 p=0.00e+00 q=0.00e+00 d=0.87
miniskirt vs oscilloscope,t=-3.00 p=3.10e-03 q=9.30e-03 d=0.29,t=-4.68 p=0.00e+00 q=0.00e+00 d=0.52,,t=-3.85 p=2.00e-04 q=7.00e-04 d=0.41,,,,,t=-3.20 p=1.60e-03 q=5.20e-03 d=0.43,,t=6.65 p=0.00e+00 q=0.00e+00 d=0.70,t=5.73 p=0.00e+00 q=0.00e+00 d=0.73
miniskirt vs suit,,t=-2.35 p=2.00e-02 q=4.55e-02 d=0.09,,t=4.21 p=0.00e+00 q=2.00e-04 d=0.15,,,t=-2.85 p=4.90e-03 q=1.37e-02 d=0.20,t=-5.88 p=0.00e+00 q=0.00e+00 d=0.50,t=-8.55 p=0.00e+00 q=0.00e+00 d=0.80,,t=10.32 p=0.00e+00 q=0.00e+00 d=1.21,t=11.55 p=0.00e+00 q=0.00e+00 d=1.09
miniskirt vs notePC,,,,t=3.82 p=2.00e-04 q=8.00e-04 d=0.17,,,t=-3.59 p=4.00e-04 q=1.60e-03 d=0.25,t=-3.39 p=8.00e-04 q=2.90e-03 d=0.19,t=-4.47 p=0.00e+00 q=1.00e-04 d=0.47,,t=6.93 p=0.00e+00 q=0.00e+00 d=0.72,t=14.62 p=0.00e+00 q=0.00e+00 d=1.23
