True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
suit vs wig,t=3.23 p=1.50e-03 q=4.80e-03 d=0.07,,,,,,,,t=7.15 p=0.00e+00 q=0.00e+00 d=0.71,t=-3.01 p=3.00e-03 q=8.80e-03 d=0.27,t=-10.70 p=0.00e+00 q=0.00e+00 d=0.91,t=-3.88 p=1.00e-04 q=6.00e-04 d=0.32
suit vs lipstick,,t=-3.00 p=3.10e-03 q=9.20e-03 d=0.22,,t=-2.37 p=1.87e-02 q=4.30e-02 d=0.14,t=2.88 p=4.50e-03 q=1.26e-02 d=0.30,,,,t=9.10 p=0.00e+00 q=0.00e+00 d=0.92,t=-2.58 p=1.07e-02 q=2.67e-02 d=0.25,t=-4.11 p=1.00e-04 q=3.00e-04 d=0.26,t=-2.45 p=1.51e-02 q=3.59e-02 d=0.24
suit vs bra,,,t=5.03 p=0.00e+00 q=0.00e+00 d=0.25,,,,t=-4.36 p=0.00e+00 q=1.00e-04 d=0.26,,t=6.60 p=0.00e+00 q=0.00e+00 d=0.70,t=-2.31 p=2.18e-02 q=4.91e-02 d=0.21,t=-4.45 p=0.00e+00 q=1.00e-04 d=0.25,t=-10.14 p=0.00e+00 q=0.00e+00 d=0.83
suit vs windsor,t=-2.83 p=5.20e-03 q=1.45e-02 d=0.10,t=-5.10 p=0.00e+00 q=0.00e+00 d=0.29,,,,,,t=6.09 p=0.00e+00 q=0.00e+00 d=0.27,t=-2.54 p=1.19e-02 q=2.92e-02 d=0.12,t=-5.06 p=0.00e+00 q=0.00e+00 d=0.39,t=-7.20 p=0.00e+00 q=0.00e+00 d=0.63,t=7.86 p=0.00e+00 q=0.00e+00 d=1.00
suit vs desk,,,,t=-2.52 p=1.25e-02 q=3.06e-02 d=0.11,,,t=3.10 p=2.20e-03 q=6.90e-03 d=0.26,t=6.46 p=0.00e+00 q=0.00e+00 d=0.62,t=5.21 p=0.00e+00 q=0.00e+00 d=0.56,,t=-8.53 p=0.00e+00 q=0.00e+00 d=0.77,t=-2.44 p=1.55e-02 q=3.67e-02 d=0.24
suit vs library,,,t=2.72 p=7.10e-03 q=1.88e-02 d=0.15,,,,t=3.98 p=1.00e-04 q=4.00e-04 d=0.34,t=6.36 p=0.00e+00 q=0.00e+00 d=0.59,t=7.49 p=0.00e+00 q=0.00e+00 d=0.73,t=-2.54 p=1.19e-02 q=2.94e-02 d=0.21,t=2.68 p=7.90e-03 q=2.08e-02 d=0.26,
notePC vs sunscreen,t=3.09 p=2.30e-03 q=7.10e-03 d=0.05,,t=2.97 p=3.40e-03 q=9.90e-03 d=0.13,,,,,,t=-4.99 p=0.00e+00 q=0.00e+00 d=0.48,,t=5.17 p=0.00e+00 q=0.00e+00 d=0.41,t=-6.35 p=0.00e+00 q=0.00e+00 d=0.84
notePC vs wig,t=5.40 p=0.00e+00 q=0.00e+00 d=0.08,,t=-3.66 p=3.00e-04 q=1.30e-03 d=0.23,,,t=-3.63 p=4.00e-04 q=1.40e-03 d=0.23,,,t=2.90 p=4.10e-03 q=1.18e-02 d=0.29,t=-4.14 p=1.00e-04 q=3.00e-04 d=0.40,t=-6.20 p=0.00e+00 q=0.00e+00 d=0.52,t=-9.82 p=0.00e+00 q=0.00e+00 d=0.61
notePC vs lipstick,,t=-3.73 p=3.00e-04 q=1.00e-03 d=0.24,,t=-3.12 p=2.10e-03 q=6.50e-03 d=0.16,,,,,t=8.19 p=0.00e+00 q=0.00e+00 d=0.67,t=-4.50 p=0.00e+00 q=1.00e-04 d=0.36,t=4.02 p=1.00e-04 q=4.00e-04 d=0.34,t=-5.18 p=0.00e+00 q=0.00e+00 d=0.45
notePC vs bra,,,,,,,t=-4.33 p=0.00e+00 q=1.00e-04 d=0.24,,t=2.97 p=3.40e-03 q=9.80e-03 d=0.30,t=-3.82 p=2.00e-04 q=8.00e-04 d=0.35,t=3.53 p=5.00e-04 q=1.90e-03 d=0.25,t=-16.51 p=0.00e+00 q=0.00e+00 d=1.04
notePC vs windsor,t=-2.51 p=1.28e-02 q=3.11e-02 d=0.09,t=-5.03 p=0.00e+00 q=0.00e+00 d=0.32,,,,,,,t=-9.38 p=0.00e+00 q=0.00e+00 d=0.88,t=-4.89 p=0.00e+00 q=0.00e+00 d=0.49,,
notePC vs desk,,,t=-2.88 p=4.50e-03 q=1.28e-02 d=0.11,t=-3.03 p=2.80e-03 q=8.30e-03 d=0.13,t=-4.04 p=1.00e-04 q=4.00e-04 d=0.22,t=-2.74 p=6.80e-03 q=1.82e-02 d=0.11,t=4.67 p=0.00e+00 q=0.00e+00 d=0.32,t=3.50 p=6.00e-04 q=2.10e-03 d=0.21,,t=-3.51 p=6.00e-04 q=2.10e-03 d=0.22,,t=-5.12 p=0.00e+00 q=0.00e+00 d=0.52
notePC vs library,,,,,t=-3.11 p=2.20e-03 q=6.80e-03 d=0.18,t=-3.41 p=8.00e-04 q=2.80e-03 d=0.16,t=5.90 p=0.00e+00 q=0.00e+00 d=0.41,,t=4.52 p=0.00e+00 q=1.00e-04 d=0.33,t=-3.98 p=1.00e-04 q=4.00e-04 d=0.36,t=7.30 p=0.00e+00 q=0.00e+00 d=0.69,t=-4.60 p=0.00e+00 q=0.00e+00 d=0.56
sunscreen vs wig,t=2.46 p=1.48e-02 q=3.53e-02 d=0.03,t=-2.45 p=1.52e-02 q=3.60e-02 d=0.09,t=-5.06 p=0.00e+00 q=0.00e+00 d=0.36,,,t=-3.63 p=4.00e-04 q=1.40e-03 d=0.21,,,t=9.81 p=0.00e+00 q=0.00e+00 d=0.67,t=-5.75 p=0.00e+00 q=0.00e+00 d=0.50,t=-9.51 p=0.00e+00 q=0.00e+00 d=0.86,
sunscreen vs lipstick,,t=-4.87 p=0.00e+00 q=0.00e+00 d=0.24,t=-2.81 p=5.50e-03 q=1.52e-02 d=0.14,t=-2.58 p=1.08e-02 q=2.68e-02 d=0.10,t=3.90 p=1.00e-04 q=6.00e-04 d=0.19,,,,t=9.55 p=0.00e+00 q=0.00e+00 d=0.94,t=-7.85 p=0.00e+00 q=0.00e+00 d=0.45,,
sunscreen vs bra,,,,,,,t=-4.34 p=0.00e+00 q=1.00e-04 d=0.30,,t=10.68 p=0.00e+00 q=0.00e+00 d=0.63,t=-6.70 p=0.00e+00 q=0.00e+00 d=0.45,,t=-5.93 p=0.00e+00 q=0.00e+00 d=0.70
sunscreen vs windsor,t=-4.10 p=1.00e-04 q=3.00e-04 d=0.15,t=-6.12 p=0.00e+00 q=0.00e+00 d=0.31,,,,,,,t=-3.89 p=1.00e-04 q=6.00e-04 d=0.44,t=-5.54 p=0.00e+00 q=0.00e+00 d=0.58,t=-6.29 p=0.00e+00 q=0.00e+00 d=0.56,t=10.58 p=0.00e+00 q=0.00e+00 d=1.24
sunscreen vs desk,t=-3.26 p=1.30e-03 q=4.40e-03 d=0.10,,t=-3.83 p=2.00e-04 q=7.00e-04 d=0.23,,,,,t=3.45 p=7.00e-04 q=2.50e-03 d=0.24,t=3.96 p=1.00e-04 q=5.00e-04 d=0.45,t=-3.58 p=4.00e-04 q=1.70e-03 d=0.33,t=-6.86 p=0.00e+00 q=0.00e+00 d=0.73,
sunscreen vs library,t=-2.93 p=3.90e-03 q=1.11e-02 d=0.09,,t=-2.48 p=1.40e-02 q=3.35e-02 d=0.16,,,t=-2.38 p=1.84e-02 q=4.24e-02 d=0.14,t=2.90 p=4.20e-03 q=1.19e-02 d=0.28,,t=5.66 p=0.00e+00 q=0.00e+00 d=0.69,t=-4.69 p=0.00e+00 q=0.00e+00 d=0.46,t=5.71 p=0.00e+00 q=0.00e+00 d=0.47,
wig vs lipstick,,t=-3.05 p=2.60e-03 q=8.00e-03 d=0.16,t=3.11 p=2.10e-03 q=6.70e-03 d=0.23,,,,,,t=4.80 p=0.00e+00 q=0.00e+00 d=0.43,,t=9.37 p=0.00e+00 q=0.00e+00 d=0.81,
wig vs bra,t=-3.61 p=4.00e-04 q=1.50e-03 d=0.05,,t=6.14 p=0.00e+00 q=0.00e+00 d=0.31,,,t=2.96 p=3.50e-03 q=1.03e-02 d=0.17,t=-5.03 p=0.00e+00 q=0.00e+00 d=0.30,,,,t=7.39 p=0.00e+00 q=0.00e+00 d=0.72,t=-12.84 p=0.00e+00 q=0.00e+00 d=0.47
wig vs windsor,t=-4.77 p=0.00e+00 q=0.00e+00 d=0.17,t=-4.60 p=0.00e+00 q=0.00e+00 d=0.23,t=2.86 p=4.70e-03 q=1.33e-02 d=0.20,,,,,,t=-9.86 p=0.00e+00 q=0.00e+00 d=1.02,,t=5.18 p=0.00e+00 q=0.00e+00 d=0.50,t=6.13 p=0.00e+00 q=0.00e+00 d=0.77
wig vs desk,t=-4.33 p=0.00e+00 q=1.00e-04 d=0.13,,,,t=-2.36 p=1.95e-02 q=4.45e-02 d=0.23,,,t=4.69 p=0.00e+00 q=0.00e+00 d=0.41,t=-2.79 p=5.80e-03 q=1.58e-02 d=0.30,,t=4.23 p=0.00e+00 q=2.00e-04 d=0.42,
wig vs library,t=-3.92 p=1.00e-04 q=5.00e-04 d=0.12,,t=3.99 p=1.00e-04 q=4.00e-04 d=0.21,,,,t=2.67 p=8.30e-03 q=2.15e-02 d=0.22,t=3.67 p=3.00e-04 q=1.20e-03 d=0.36,,,t=13.53 p=0.00e+00 q=0.00e+00 d=1.05,
lipstick vs bra,,t=3.87 p=2.00e-04 q=6.00e-04 d=0.21,,t=2.84 p=5.00e-03 q=1.40e-02 d=0.13,t=-2.92 p=3.90e-03 q=1.13e-02 d=0.20,,t=-3.83 p=2.00e-04 q=7.00e-04 d=0.25,,t=-2.68 p=8.10e-03 q=2.11e-02 d=0.27,,,t=-5.09 p=0.00e+00 q=0.00e+00 d=0.35
lipstick vs windsor,t=-4.44 p=0.00e+00 q=1.00e-04 d=0.17,,,t=2.38 p=1.83e-02 q=4.22e-02 d=0.12,,,,,t=-12.02 p=0.00e+00 q=0.00e+00 d=1.23,,t=-4.32 p=0.00e+00 q=1.00e-04 d=0.47,t=5.17 p=0.00e+00 q=0.00e+00 d=0.55
lipstick vs desk,t=-2.49 p=1.37e-02 q=3.29e-02 d=0.13,t=3.40 p=8.00e-04 q=2.90e-03 d=0.27,,,t=-5.24 p=0.00e+00 q=0.00e+00 d=0.39,,t=2.87 p=4.60e-03 q=1.29e-02 d=0.27,t=3.95 p=1.00e-04 q=5.00e-04 d=0.30,t=-6.92 p=0.00e+00 q=0.00e+00 d=0.67,,t=-6.76 p=0.00e+00 q=0.00e+00 d=0.63,
lipstick vs library,,t=2.85 p=4.80e-03 q=1.35e-02 d=0.19,,,t=-4.20 p=0.00e+00 q=2.00e-04 d=0.33,,t=3.56 p=5.00e-04 q=1.80e-03 d=0.34,t=2.84 p=5.00e-03 q=1.41e-02 d=0.25,t=-3.89 p=1.00e-04 q=6.00e-04 d=0.34,,t=5.83 p=0.00e+00 q=0.00e+00 d=0.52,
bra vs windsor,t=-3.79 p=2.00e-04 q=8.00e-04 d=0.13,t=-5.73 p=0.00e+00 q=0.00e+00 d=0.28,,,,,t=4.06 p=1.00e-04 q=3.00e-04 d=0.28,,t=-8.35 p=0.00e+00 q=0.00e+00 d=0.95,,t=-3.93 p=1.00e-04 q=5.00e-04 d=0.35,t=9.82 p=0.00e+00 q=0.00e+00 d=1.18
bra vs desk,t=-2.76 p=6.40e-03 q=1.73e-02 d=0.08,,t=-3.58 p=4.00e-04 q=1.70e-03 d=0.19,,,,t=6.71 p=0.00e+00 q=0.00e+00 d=0.53,t=3.52 p=5.00e-04 q=2.00e-03 d=0.26,t=-2.65 p=8.80e-03 q=2.25e-02 d=0.31,,t=-4.64 p=0.00e+00 q=0.00e+00 d=0.48,t=4.84 p=0.00e+00 q=0.00e+00 d=0.50
bra vs library,,,,,,,t=7.48 p=0.00e+00 q=0.00e+00 d=0.60,t=2.42 p=1.67e-02 q=3.90e-02 d=0.21,,,t=4.01 p=1.00e-04 q=4.00e-04 d=0.47,t=6.08 p=0.00e+00 q=0.00e+00 d=0.73
windsor vs desk,,t=4.34 p=0.00e+00 q=1.00e-04 d=0.36,,,t=-2.67 p=8.30e-03 q=2.16e-02 d=0.22,,t=2.67 p=8.20e-03 q=2.12e-02 d=0.24,t=4.58 p=0.00e+00 q=0.00e+00 d=0.43,t=8.88 p=0.00e+00 q=0.00e+00 d=0.85,t=3.11 p=2.20e-03 q=6.80e-03 d=0.31,,t=-6.74 p=0.00e+00 q=0.00e+00 d=0.67
windsor vs library,,t=4.95 p=0.00e+00 q=0.00e+00 d=0.26,,,,,t=3.58 p=4.00e-04 q=1.70e-03 d=0.32,t=4.23 p=0.00e+00 q=2.00e-04 d=0.38,t=12.14 p=0.00e+00 q=0.00e+00 d=1.02,,t=7.50 p=0.00e+00 q=0.00e+00 d=0.84,t=-10.77 p=0.00e+00 q=0.00e+00 d=0.82
desk vs library,,,,,,,,,t=4.80 p=0.00e+00 q=0.00e+00 d=0.34,,t=9.47 p=0.00e+00 q=0.00e+00 d=0.97,t=2.64 p=9.00e-03 q=2.32e-02 d=0.15
